id,category,subcategory,question,answer,difficulty,tags
1,產品介紹,基本資訊,你們的產品有哪些系列？,我們目前有三大系列產品：健康保健系列、美容護膚系列、以及居家生活系列。每個系列都經過嚴格的品質檢測與認證，歡迎您告訴我您最感興趣的方向，我可以為您做更詳細的介紹。,easy,產品;入門
2,產品介紹,成分說明,產品的成分安全嗎？有通過什麼認證？,我們所有產品都通過 SGS 檢驗、GMP 認證工廠生產，並符合衛福部相關規範。成分來源透明，您可以在每款產品包裝上看到完整的成分標示。如果您對特定成分有疑慮，我很樂意為您逐一說明。,medium,產品;安全;認證
3,產品介紹,使用方式,保健食品要怎麼吃？什麼時候吃效果最好？,建議依照產品標示的使用方式食用。一般來說，脂溶性營養素（如魚油、維生素D）建議隨餐食用，水溶性營養素（如維生素C、B群）則空腹或餐前皆可。不過每個人的身體狀況不同，建議您先告訴我想補充的品項，我再給您更精確的建議。,medium,產品;使用方式;保健
4,產品介紹,價格疑問,為什麼你們的產品比一般市售的貴？,價格差異主要來自原料品質、製程技術和服務內容。我們使用高純度原料、專利萃取技術，加上提供一對一健康諮詢服務，這些都是一般通路產品不包含的附加價值。如果以單位有效成分的含量來換算，其實性價比是很高的。,medium,產品;價格;價值
5,產品介紹,與競品比較,你們的產品跟市面上其他品牌有什麼不同？,我們的核心優勢在於三點：第一，原料採用專利製程萃取，吸收率更高；第二，通過多項國際認證，品質有保障；第三，我們提供完整的售後服務與個人化諮詢。不過我建議您可以根據自身需求來選擇，我可以針對您關心的面向做更深入的比較。,medium,產品;競品;優勢
6,產品介紹,體驗推薦,客戶問有沒有試用包或體驗組？,有的，我們提供多種體驗方式。針對護膚品，我們有旅行體驗組讓您試用一到兩週；保健品則有小包裝體驗。另外，我也可以安排免費的肌膚檢測或健康諮詢，幫您先了解自己的狀況，再推薦最適合的產品。體驗是了解產品最好的方式，用過才知道適不適合自己。,easy,產品;體驗;試用
7,產品介紹,素食者適用,你們的保健品素食者可以吃嗎？,我們部分產品有推出素食配方。例如植物性蛋白、藻類 DHA、素食膠囊的維生素等。不過並非所有產品都適合素食者，有些產品含有動物來源的成分，例如魚油、膠原蛋白等。我可以根據您的飲食需求，幫您挑選完全適合素食者的產品組合。請問您是全素還是蛋奶素呢？這樣我可以給您更精確的推薦。,medium,產品;素食;飲食;客製
8,產品介紹,健康保健系列 — 深海魚油,你們的魚油有什麼特色？跟一般魚油有什麼不同？,我們的「深海魚油 Omega-3 精粹膠囊」採用來自純淨深海小型魚種（如鯷魚、沙丁魚）的魚油，經過分子蒸餾技術去除重金屬與雜質，每顆含有 EPA 600mg 及 DHA 400mg，濃度高達 80% 以上，遠高於一般市售魚油的 30%。此外，我們採用 rTG 型態，人體吸收率比一般 EE 型態高出 70%。通過 IFOS 五星認證及 SGS 重金屬檢驗，品質值得信賴。建議每日 1 到 2 顆，隨餐食用效果最佳，適合上班族、銀髮族及注重心血管保養的族群。,medium,產品;魚油;Omega-3;健康保健系列
9,產品介紹,健康保健系列 — 綜合維生素B群,你們的B群適合什麼人吃？有什麼功效？,我們的「活力代謝 B 群緩釋錠」含有完整 8 種 B 群維生素，採用獨家緩釋技術，讓營養素在 8 小時內持續釋放，避免一般 B 群短時間內大量排出的問題。特別添加天然酵母來源的活性 B12（甲基鈷胺素），相較合成型態更容易被人體利用。適合經常熬夜、工作壓力大、容易疲勞、嘴破口角炎的族群。每日早餐後 1 錠即可，因含 B2 成分尿液可能呈黃色，這是正常現象不用擔心。,medium,產品;B群;維生素;健康保健系列
10,產品介紹,健康保健系列 — 益生菌,你們的益生菌跟市面上的有什麼不一樣？,我們的「暢活複合益生菌」含有 10 株專利菌種，每包活菌數高達 300 億 CFU，並搭配專利包埋技術，確保益生菌通過胃酸到達腸道的存活率達 90% 以上。配方中還添加了果寡糖與半乳寡糖等益生元，為好菌提供養分，幫助好菌定殖。口味是微甜的優格風味，可以直接食用或加入冷飲中。適合排便不順、容易脹氣、免疫力較弱、換季容易過敏的族群。建議每日 1 到 2 包，空腹或睡前食用效果最好。,medium,產品;益生菌;腸道;健康保健系列
11,產品介紹,健康保健系列 — 葉黃素,你們的葉黃素適合什麼人吃？要吃多久才有感？,我們的「晶亮護眼葉黃素軟膠囊」採用 FloraGLO 游離型葉黃素，每顆含葉黃素 30mg 搭配玉米黃素 6mg，符合國際建議的 5:1 黃金比例。同時添加蝦紅素、花青素及智利酒果萃取，提供全方位的晶亮保護。游離型葉黃素不需消化即可直接吸收，吸收率是酯化型的 1.6 倍。適合長時間使用 3C 產品、學生族群、以及中高年齡者。建議每日 1 顆隨餐食用，持續補充 2 到 3 個月體感會更明顯，因為葉黃素需要時間在體內累積。,medium,產品;葉黃素;護眼;健康保健系列
12,產品介紹,健康保健系列 — 膠原蛋白,你們的膠原蛋白有什麼特別的？怎麼吃最有效？,我們的「煥妍膠原蛋白胜肽粉」採用日本專利 PO·OG 二胜肽膠原蛋白，分子量僅 2000 道爾頓，比一般膠原蛋白小 10 倍，人體吸收利用率更高。每包含有 5000mg 膠原蛋白胜肽，並搭配維生素 C、賽洛美（神經醯胺）及彈力蛋白，由內而外提升澎潤光澤。粉末細緻無腥味，可加入常溫水、果汁或優格中飲用。建議每日 1 到 2 包，空腹食用吸收效果較佳，持續 4 到 8 週可感受到肌膚與指甲的變化。,medium,產品;膠原蛋白;美容;健康保健系列
